plate.id,mm.from.bregma,image.id,agea.id,done,plane,X
100960520,7.56,1,0,0,coronal,
100960516,7.08,2,0,1,coronal,
100960512,6.6,3,0,0,coronal,
100960508,6.12,4,0,1,coronal,
100960504,5.64,5,0,1,coronal,
100960500,5.16,6,0,1,coronal,
100960496,4.68,7,0,1,coronal,
100960492,4.2,8,0,1,coronal,
100960488,3.72,9,0,1,coronal,
100960484,3.24,10,0,1,coronal,
100960480,3,11,0,1,coronal,
100960476,2.76,12,0,1,coronal,
100960472,2.52,13,0,1,coronal,
100960468,2.28,14,0,1,coronal,
100960464,2.16,15,0,1,coronal,
100960460,2.04,16,0,1,coronal,
100960456,1.92,17,0,1,coronal,
100960452,1.8,18,0,1,coronal,
100960448,1.68,19,0,1,coronal,
100960444,1.56,20,0,1,coronal,
100960440,1.44,21,0,1,coronal,
100960437,1.28,22,0,1,coronal,
100960432,1.2,23,0,1,coronal,
100960428,1.08,24,0,1,coronal,
100960424,0.96,25,0,1,coronal,
100960420,0.84,26,0,1,coronal,
100960416,0.72,27,0,1,coronal,
100960413,0.6,28,0,1,coronal,
100960408,0.48,29,0,1,coronal,
100960404,0.36,30,0,1,coronal,
100960400,0.24,31,0,1,coronal,
100960396,0.12,32,0,1,coronal,
100960392,0,33,0,1,coronal,
100960388,-0.12,34,0,1,coronal,
100960384,-0.24,35,0,1,coronal,
100960380,-0.36,36,0,1,coronal,
100960376,-0.48,37,0,1,coronal,
100960372,-0.6,38,0,1,coronal,
100960368,-0.72,39,0,1,coronal,
100960365,-0.84,40,0,1,coronal,
100960360,-0.96,41,0,1,coronal,
100960356,-1.08,42,0,1,coronal,
100960352,-1.2,43,0,1,coronal,
100960348,-1.32,44,0,1,coronal,
100960344,-1.44,45,0,1,coronal,
100960340,-1.56,46,0,1,coronal,
100960336,-1.72,47,0,1,coronal,
100960333,-1.8,48,0,1,coronal,
100960328,-1.92,49,0,1,coronal,
100960324,-2.04,50,0,1,coronal,
100960320,-2.16,51,0,1,coronal,
100960316,-2.28,52,0,1,coronal,
100960312,-2.4,53,0,1,coronal,
100960310,-2.52,54,0,1,coronal,
100960309,-2.64,55,0,1,coronal,
100960305,-2.76,56,0,1,coronal,
100960301,-2.92,57,0,1,coronal,
100960297,-3,58,0,1,coronal,
100960293,-3.12,59,0,1,coronal,
100960289,-3.24,60,0,1,coronal,
100960284,-3.36,61,0,1,coronal,
100960280,-3.48,62,0,1,coronal,
100960276,-3.6,63,0,1,coronal,
100960273,-3.72,64,0,1,coronal,
100960268,-3.84,65,0,1,coronal,
100960264,-3.96,66,0,1,coronal,
100960260,-4.08,67,0,1,coronal,
100960256,-4.2,68,0,1,coronal,
100960252,-4.36,69,0,1,coronal,
100960248,-4.44,70,0,1,coronal,
100960244,-4.56,71,0,1,coronal,
100960240,-4.68,72,0,1,coronal,
100960236,-4.8,73,0,1,coronal,
100960232,-4.92,74,0,1,coronal,
100960228,-5.04,75,0,1,coronal,
100960224,-5.2,76,0,1,coronal,
100960084,-5.28,77,0,1,coronal,
100960092,-5.4,78,0,1,coronal,
100960088,-5.52,79,0,1,coronal,
100960081,-5.64,80,0,1,coronal,
100960076,-5.76,81,0,1,coronal,
100960073,-5.88,82,0,1,coronal,
100960069,-6,83,0,1,coronal,
100960065,-6.12,84,0,1,coronal,
100960061,-6.24,85,0,1,coronal,
100960057,-6.36,86,0,1,coronal,
100960053,-6.48,87,0,1,coronal,
100960049,-6.6,88,0,1,coronal,
100960044,-6.72,89,0,1,coronal,
100960525,-6.84,90,0,1,coronal,
100960041,-6.96,91,0,1,coronal,
100960037,-7.08,92,0,1,coronal,
100960033,-7.2,93,0,1,coronal,
100966117,-7.32,94,0,1,coronal,
100966113,-7.44,95,0,1,coronal,
100966108,-7.56,96,0,1,coronal,
100966105,-7.68,97,0,1,coronal,
100966101,-7.8,98,0,1,coronal,
100966096,-7.92,99,0,1,coronal,
100966092,-8.04,100,0,1,coronal,
100966088,-8.16,101,0,1,coronal,
100960221,-8.28,102,0,1,coronal,
100960216,-8.4,103,0,1,coronal,
100960212,-8.52,104,0,1,coronal,
100960208,-8.64,105,0,1,coronal,
100960204,-8.76,106,0,1,coronal,
100960200,-8.88,107,0,1,coronal,
100960197,-9,108,0,1,coronal,
100960192,-9.12,109,0,1,coronal,
100960188,-9.24,110,0,0,coronal,
100960184,-9.36,111,0,0,coronal,
100960181,-9.48,112,0,0,coronal,
100960176,-9.6,113,0,0,coronal,
100960172,-9.72,114,0,0,coronal,
100960168,-9.84,115,0,0,coronal,
100960165,-9.96,116,0,0,coronal,
100960160,-10.08,117,0,0,coronal,
100960156,-10.2,118,0,0,coronal,
100960152,-10.32,119,0,0,coronal,
100960148,-10.44,120,0,0,coronal,
100960144,-10.56,121,0,0,coronal,
100960140,-10.68,122,0,0,coronal,
100960136,-10.8,123,0,0,coronal,
100960132,-10.92,124,0,0,coronal,
100960128,-11.04,125,0,0,coronal,
100960124,-11.16,126,0,0,coronal,
100960120,-11.28,127,0,0,coronal,
100960116,-11.4,128,0,0,coronal,
100960112,-11.52,129,0,0,coronal,
100960108,-11.64,130,0,0,coronal,
100960104,-11.76,131,0,0,coronal,
100960101,-11.88,132,0,0,coronal,
120960096,-12,133,0,0,coronal,
120960097,-12.12,134,0,0,coronal,
120960098,-12.24,135,0,0,coronal,
120960099,-12.36,136,0,0,coronal,
120960100,-12.48,137,0,0,coronal,
120960101,-12.6,138,0,0,coronal,
120960102,-12.72,139,0,0,coronal,
120960103,-12.84,140,0,0,coronal,
120960104,-12.96,141,0,0,coronal,
120960105,-13.08,142,0,0,coronal,
120960106,-13.2,143,0,0,coronal,
120960107,-13.36,144,0,0,coronal,
120960108,-13.44,145,0,0,coronal,
120960109,-13.56,146,0,0,coronal,
120960110,-13.68,147,0,0,coronal,
120960111,-13.76,148,0,0,coronal,
120960112,-13.92,149,0,0,coronal,
120960113,-14.04,150,0,0,coronal,
120960114,-14.16,151,0,0,coronal,
120960115,-14.28,152,0,0,coronal,
120960116,-14.4,153,0,0,coronal,
120960117,-14.52,154,0,0,coronal,
120960118,-14.64,155,0,0,coronal,
120960119,-14.76,156,0,0,coronal,
120960120,-15,157,0,0,coronal,
120960121,-15.24,158,0,0,coronal,
120960122,-15.48,159,0,0,coronal,
120960123,-15.72,160,0,0,coronal,
120960124,-15.96,161,0,0,coronal,
